variable,group,value
1751,papG,0
1751,papH,0
1751,papI,0
1751,papJ,0
1751,papK,0
1751,papX,0
1751,tcpC,0
1751,vat,0
1751,vgrG/tssI,0
1751,vipB/tssC,0
1751,ADP,0
1751,cesF,0
1751,clpB,0
1751,espH,0
1751,espJ,0
1751,espM2,0
1751,espR3,0
1751,espR4,0
1751,espW,0
1751,espX2,0
1751,espX6,0
1751,espY2,0
1751,espY3,0
1751,espY4,0
1751,nleB2,0
1751,nleD,0
1751,nleH1,0
1751,sat,0
1751,shuA,0
1751,shuS,0
1751,shuT,0
1751,shuU,0
1751,shuV,0
1751,shuX,0
1751,shuY,0
1751,stcE,0
1751,stx1A,0
1751,stx2A,0
1751,stx2B,0
1751,tir,0
1751,toxB,0
1751,manB,0
1751,manC,0
1476,acrA,1
1476,acrB,1
1476,allB,1
1476,aslA,1
1476,cesAB,1
1476,cesD,1
1476,cesD2,1
1476,cesL,1
1476,cesT,1
1476,csgB,1
1476,eae,1
1476,east1,1
1476,efa1,1
1476,entB,1
1476,entC,1
1476,entD,1
1476,entE,1
1476,entF,1
1476,entS,1
1476,escC,1
1476,escD,1
1476,escE,1
1476,escF,1
1476,escG,1
1476,escI,1
1476,escJ,1
1476,escL,1
1476,escN,1
1476,escO,1
1476,escR,1
1476,escS,1
1476,escT,1
1476,escU,1
1476,escV,1
1476,espA,1
1476,espB,1
1476,espD,1
1476,espF,1
1476,espFu/tccP,1
1476,espG,1
1476,espK,1
1476,espL1,1
1476,espL2,1
1476,espL4,1
1476,espM1,1
1476,espN,1
1476,espP,1
1476,espR1,1
1476,espX1,1
1476,espX4,1
1476,espX5,1
1476,espX7/nleL,1
1476,etgA,1
1476,fdeC,1
1476,fepA,1
1476,fepB,1
1476,fepC,1
1476,fepD,1
1476,fepG,1
1476,fes,1
1476,fimA,1
1476,fimB,1
1476,fimC,1
1476,fimD,1
1476,fimE,1
1476,fimF,1
1476,fimG,1
1476,fimH,1
1476,fimI,1
1476,flhA,1
1476,gspC,1
1476,gspD,1
1476,gspE,1
1476,gspF,1
1476,gspG,1
1476,gspH,1
1476,gspI,1
1476,gspJ,1
1476,gspK,1
1476,gspL,1
1476,gspM,1
1476,hlyA,1
1476,hlyB,1
1476,hlyC,1
1476,hlyD,1
1476,iucA,1
1476,iucB,1
1476,iucC,1
1476,iucD,1
1476,iutA,1
1476,map,1
1476,nleA/espI,1
1476,nleB1,1
1476,nleC,1
1476,nleE,1
1476,nleF,1
1476,nleG7',1
1476,nleH2,1
1476,ompA,1
1476,paa,1
1476,rcsB,1
1476,sepD,1
1476,sepL,1
1476,sepQ/escQ,1
1476,sepZ/espZ,1
1476,stxA,1
1476,stxB,1
1476,waaF,1
1476,yagV/ecpE,1
1476,yagW/ecpD,1
1476,yagX/ecpC,1
1476,yagY/ecpB,1
1476,yagZ/ecpA,1
1476,ykgK/ecpR,1
1476,algA,0
1476,espY1,0
1476,fyuA,0
1476,gnd,0
1476,gtrB,0
1476,iroB,0
1476,iroC,0
1476,iroD,0
1476,iroE,0
1476,iroN,0
1476,irp1,0
1476,irp2,0
1476,ybtA,0
1476,ybtE,0
1476,ybtP,0
1476,ybtQ,0
